competencia;tp_ocde;chave_ies;co_ies;co_curso;co_municipio;tp_categoria_administrativa;ano_funcionamento;qt_matricula_total;qt_ingresso_total;qt_concluinte_total;qt_vaga_total;qt_inscrito_total
1998;Medicina;30_1998;30;2304;310160;Privada com fins lucrativos;1998;629,0;161,0;58,0;160;1783
1998;Odontologia;583_1998;583;13997;230440;Pública Federal;1998;372,0;86,0;92,0;80;1201
1998;Fisioterapia;664_1998;664;18096;320520;Privada com fins lucrativos;1998;102,0;102,0;0,0;100;757
1998;Odontologia;56_1998;56;3173;354990;Pública Estadual;1998;222,0;60,0;47,0;60;1880
1998;Fisioterapia;322_1998;322;18372;355220;Privada com fins lucrativos;1998;159,0;100,0;0,0;100;250
1998;Fisioterapia;243_1998;243;6182;;Privada com fins lucrativos;1998;294,0;86,0;37,0;81;240
1998;Medicina;4_1998;4;389;130260;Pública Federal;1998;637,0;84,0;112,0;81;1740
1998;Odontologia;577_1998;577;13202;270430;Pública Federal;1998;317,0;61,0;60,0;60;780
1998;Odontologia;572_1998;572;12693;330330;Pública Federal;1998;382,0;84,0;74,0;80;3100
1998;Odontologia;65_1998;65;3527;350550;Privada com fins lucrativos;1998;315,0;80,0;79,0;80;395
1998;Fisioterapia;420_1998;420;8675;352900;Privada com fins lucrativos;1998;633,0;111,0;116,0;200;166
1998;Odontologia;10_1998;10;869;410690;Privada com fins lucrativos;1998;621,0;133,0;144,0;140;1121
1998;Medicina;353_1998;353;7705;410690;Privada com fins lucrativos;1998;379,0;62,0;65,0;60;1886
1998;Medicina;57_1998;57;3418;411520;Pública Estadual;1998;121,0;20,0;25,0;20;1663
1998;Fisioterapia;43_1998;43;2544;420540;Pública Estadual;1998;279,0;79,0;0,0;80;2162
1998;Fisioterapia;295_1998;295;18338;431680;Privada com fins lucrativos;1998;51,0;52,0;0,0;50;324
